,exp_id,method,graph_type,dim_grid,p_er,m_pa,p_sbm_between,p_sbm_within,nb_conv,noise_scale,M,alpha,train_mse,smoothness_condition_1,smoothness_condition_2,test_mse_0,test_mse_1,test_mse_2,test_mse_3,test_mse_4,test_mse_5,test_mse_6,test_mse_7,test_mse_8,test_mse_9,test_mse_10,test_mse_11,test_mse_12,test_mse_13,test_mse_14,test_mse_15,test_mse_16,test_mse_17,test_mse_18,test_mse_19
0,0.0,0.0,ER,2.0,0.005,1.0,0.1,0.5,1.0,0.01,0.1,0.01,0.0001332707114809684,0.015826713218096075,0.007781884095801262,0.00011891775309425539,0.00011853825649503194,0.00012685819923857723,0.00012659464562680273,0.00012330168471578868,0.00012709895140931786,0.0001293362307544121,0.00011527002163211525,0.0001246378457117069,0.00012192787345768887,0.00011929232934702424,0.0001257538156868886,0.00012464753479715353,0.00013279300898677346,0.00011784915030573273,0.00014084285898427522,0.00012040306486268767,0.00012192966270218873,0.00013049732727149507,0.00012579556149836717
1,0.0,1.0,ER,2.0,0.005,1.0,0.1,0.5,1.0,0.01,0.1,0.01,2.8428152731848784e-05,0.015826713218096075,0.007781884095801262,2.8428152731848784e-05,2.8428152731848784e-05,2.8428152731848784e-05,2.8428152731848784e-05,2.8428152731848784e-05,2.8428152731848784e-05,2.8428152731848784e-05,2.8428152731848784e-05,2.8428152731848784e-05,2.8428152731848784e-05,2.8428152731848784e-05,2.8428152731848784e-05,2.8428152731848784e-05,2.8428152731848784e-05,2.8428152731848784e-05,2.8428152731848784e-05,2.8428152731848784e-05,2.8428152731848784e-05,2.8428152731848784e-05,2.8428152731848784e-05
2,1.0,0.0,ER,2.0,0.005,1.0,0.1,0.5,1.0,0.01,0.1,0.01,0.00012538322432262966,0.01494847142901159,0.010452744033687553,0.00012456306592200278,0.00012538640886595008,0.0001257074584584557,0.00012718839886218886,0.00012438073183305515,0.00012336824322068022,0.00012129517028357302,0.00012234657398046958,0.00012661748205619865,0.00011823556146267329,0.00011770917885929307,0.00013801927003444115,0.00012875469062263007,0.0001239085065577095,0.0001214014300164337,0.00011904352325744367,0.00012791721949995206,0.00012867688532897914,0.00011377965276685267,0.00012177534095625225
3,1.0,1.0,ER,2.0,0.005,1.0,0.1,0.5,1.0,0.01,0.1,0.01,2.7649323833953663e-05,0.01494847142901159,0.010452744033687553,2.7649323833953663e-05,2.7649323833953663e-05,2.7649323833953663e-05,2.7649323833953663e-05,2.7649323833953663e-05,2.7649323833953663e-05,2.7649323833953663e-05,2.7649323833953663e-05,2.7649323833953663e-05,2.7649323833953663e-05,2.7649323833953663e-05,2.7649323833953663e-05,2.7649323833953663e-05,2.7649323833953663e-05,2.7649323833953663e-05,2.7649323833953663e-05,2.7649323833953663e-05,2.7649323833953663e-05,2.7649323833953663e-05,2.7649323833953663e-05
4,2.0,0.0,ER,2.0,0.005,1.0,0.1,0.5,1.0,0.01,0.1,0.01,0.00012761356273197717,0.01521418997046146,0.006502313312643644,0.00012104169965360976,0.00011463181463756793,0.0001232263128461542,0.0001249331201918932,0.00012837836435283155,0.00012063986169391385,0.00011261595114395057,0.00013157930688349184,0.0001209972065504999,0.0001252540850829023,0.00012326940665657082,0.00012488607156598783,0.00011640304012036682,0.00012271653466662823,0.00011809029944420732,0.0001267830426862721,0.00012678046666525074,0.0001283488689240963,0.00012498965331050546,0.00011684272030714666
5,2.0,1.0,ER,2.0,0.005,1.0,0.1,0.5,1.0,0.01,0.1,0.01,2.636215547059231e-05,0.01521418997046146,0.006502313312643644,2.636215547059231e-05,2.636215547059231e-05,2.636215547059231e-05,2.636215547059231e-05,2.636215547059231e-05,2.636215547059231e-05,2.636215547059231e-05,2.636215547059231e-05,2.636215547059231e-05,2.636215547059231e-05,2.636215547059231e-05,2.636215547059231e-05,2.636215547059231e-05,2.636215547059231e-05,2.636215547059231e-05,2.636215547059231e-05,2.636215547059231e-05,2.636215547059231e-05,2.636215547059231e-05,2.636215547059231e-05
6,3.0,0.0,ER,2.0,0.005,1.0,0.1,0.5,1.0,0.01,0.1,0.01,0.00012134762961402775,0.013278613529553594,0.00630912367739229,0.0001266977950860762,0.00011900932782453431,0.00012096573770347447,0.00011649786388859366,0.00011882947864101354,0.00011866126343780287,0.0001186545731209759,0.0001233547259349294,0.00011729955749641741,0.00012495048856028874,0.00012499726310189567,0.00012212947911232721,0.00012198613868830674,0.00012150723630524286,0.00011677278463584409,0.00011798018766934287,0.00011193995324113478,0.00011943124896464289,0.00012238749158603987,0.00012944771434629976
7,3.0,1.0,ER,2.0,0.005,1.0,0.1,0.5,1.0,0.01,0.1,0.01,2.5470981609819668e-05,0.013278613529553594,0.00630912367739229,2.5470981609819668e-05,2.5470981609819668e-05,2.5470981609819668e-05,2.5470981609819668e-05,2.5470981609819668e-05,2.5470981609819668e-05,2.5470981609819668e-05,2.5470981609819668e-05,2.5470981609819668e-05,2.5470981609819668e-05,2.5470981609819668e-05,2.5470981609819668e-05,2.5470981609819668e-05,2.5470981609819668e-05,2.5470981609819668e-05,2.5470981609819668e-05,2.5470981609819668e-05,2.5470981609819668e-05,2.5470981609819668e-05,2.5470981609819668e-05
8,4.0,0.0,ER,2.0,0.005,1.0,0.1,0.5,1.0,0.01,0.1,0.01,0.00013329569881255854,0.013581021755578994,0.006010510695392199,0.00012323516702386348,0.00012185969508540023,0.00011959919629021454,0.00013671471274371983,0.00011112670510594782,0.00012446443804042066,0.00012310763306316324,0.0001218323037077742,0.0001275007066646961,0.00012080692287757935,0.0001254788160297423,0.0001213671461143419,0.00012927433248055415,0.00012049347872460266,0.00011872649945535446,0.0001186507676096553,0.00012093597259819907,0.00011326487650968506,0.00013778861087725808,0.0001290690591929154
9,4.0,1.0,ER,2.0,0.005,1.0,0.1,0.5,1.0,0.01,0.1,0.01,2.81472979394357e-05,0.013581021755578994,0.006010510695392199,2.81472979394357e-05,2.81472979394357e-05,2.81472979394357e-05,2.81472979394357e-05,2.81472979394357e-05,2.81472979394357e-05,2.81472979394357e-05,2.81472979394357e-05,2.81472979394357e-05,2.81472979394357e-05,2.81472979394357e-05,2.81472979394357e-05,2.81472979394357e-05,2.81472979394357e-05,2.81472979394357e-05,2.81472979394357e-05,2.81472979394357e-05,2.81472979394357e-05,2.81472979394357e-05,2.81472979394357e-05
10,5.0,0.0,ER,2.0,0.005,1.0,0.1,0.5,1.0,0.01,0.1,0.01,0.0001158532668483878,0.01393994648034386,0.005474757292466789,0.00012324470659695952,0.00012718958983385975,0.00012221838331744045,0.00012415090595715812,0.00011105438694022138,0.00011971765007975938,0.00013130831600709404,0.00013196760744573085,0.00012710885134557852,0.00011884582717006217,0.00012466398381564132,0.00012710114400757444,0.00011722569282897463,0.00011929964355766717,0.00012376181640603274,0.0001273669218249518,0.0001168045409091035,0.00012274896234907483,0.00012308859105427574,0.00013305669216458565
