,exp_id,method,graph_type,dim_grid,p_er,m_pa,p_sbm_between,p_sbm_within,nb_conv,noise_scale,M,alpha,train_mse,smoothness_condition_1,smoothness_condition_2,test_mse_0,test_mse_1,test_mse_2,test_mse_3,test_mse_4,test_mse_5,test_mse_6,test_mse_7,test_mse_8,test_mse_9,test_mse_10,test_mse_11,test_mse_12,test_mse_13,test_mse_14,test_mse_15,test_mse_16,test_mse_17,test_mse_18,test_mse_19
0,0.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.01,0.00010747043908262781,0.016091522980458264,0.0006111191787234301,0.00011010430352728417,0.0001127971732858035,0.00011114177776588037,0.00010613211620655282,0.0001136979311630345,0.00011036303455583083,0.0001224313906802918,0.00010432650456830905,0.00010620400666666825,0.00011177078924423188,0.00011326368115284623,0.00011250203634454857,0.00010867402227743171,0.00010994379245815183,0.00011262207598279611,0.00011643478188851943,0.0001171559698631897,0.0001155065602816998,0.00011794996326170788,0.00012043637909840532
1,0.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.01,1.1803933827940178e-05,0.016091522980458264,0.0006111191787234301,1.1803933827940178e-05,1.1803933827940178e-05,1.1803933827940178e-05,1.1803933827940178e-05,1.1803933827940178e-05,1.1803933827940178e-05,1.1803933827940178e-05,1.1803933827940178e-05,1.1803933827940178e-05,1.1803933827940178e-05,1.1803933827940178e-05,1.1803933827940178e-05,1.1803933827940178e-05,1.1803933827940178e-05,1.1803933827940178e-05,1.1803933827940178e-05,1.1803933827940178e-05,1.1803933827940178e-05,1.1803933827940178e-05,1.1803933827940178e-05
2,1.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.01,0.00011893722889356415,0.015947330293725255,0.0006161955410739238,0.00011248262932435193,0.0001237738631683166,0.00011514628841420806,0.00012199292689121278,0.0001152551285556532,0.00011241031662322294,0.00010892593031607055,0.0001122319028249101,0.00011636826589904513,0.00011172936648422573,0.00010860428501127106,0.00012771134649327794,0.00011408375048196655,0.00011275929508325154,0.00011190877739432755,0.00010536286290762973,0.00011311729571188763,0.00012038594840969242,0.00011270370558843315,0.00010474253186745627
3,1.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.01,1.2564787372225832e-05,0.015947330293725255,0.0006161955410739238,1.2564787372225832e-05,1.2564787372225832e-05,1.2564787372225832e-05,1.2564787372225832e-05,1.2564787372225832e-05,1.2564787372225832e-05,1.2564787372225832e-05,1.2564787372225832e-05,1.2564787372225832e-05,1.2564787372225832e-05,1.2564787372225832e-05,1.2564787372225832e-05,1.2564787372225832e-05,1.2564787372225832e-05,1.2564787372225832e-05,1.2564787372225832e-05,1.2564787372225832e-05,1.2564787372225832e-05,1.2564787372225832e-05,1.2564787372225832e-05
4,2.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.01,0.0001102835534044991,0.01620874123986571,0.0007195707535996975,0.00010497876059483365,0.00011362538727592502,0.0001085152182417656,0.00012027780363110609,0.00011615337699678412,0.00011478335905140215,0.00012084621240542807,0.00011568866624610293,0.00010831309470129623,0.00011115614406442645,0.00011456479144451565,0.00011030277050816659,0.00011383683947389952,0.00010931859365330375,0.00011092154777860148,0.00011250050199446021,0.00011966591301546861,0.00012273139739426151,0.00010749243112392633,0.0001141540987468642
5,2.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.01,1.2624186281436345e-05,0.01620874123986571,0.0007195707535996975,1.2624186281436345e-05,1.2624186281436345e-05,1.2624186281436345e-05,1.2624186281436345e-05,1.2624186281436345e-05,1.2624186281436345e-05,1.2624186281436345e-05,1.2624186281436345e-05,1.2624186281436345e-05,1.2624186281436345e-05,1.2624186281436345e-05,1.2624186281436345e-05,1.2624186281436345e-05,1.2624186281436345e-05,1.2624186281436345e-05,1.2624186281436345e-05,1.2624186281436345e-05,1.2624186281436345e-05,1.2624186281436345e-05,1.2624186281436345e-05
6,3.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.01,0.00011563693535921856,0.018572492616470294,0.0008478676093494895,0.00010809374056024344,0.0001153163414495081,0.00010711916065177193,0.00010425172189183552,0.0001136351475849128,0.00010735752302178404,0.00010958920662860012,0.00011600011525510592,0.00011089145647333475,0.00011098083666594114,0.00010925973262043661,0.00010562541387258546,0.0001107897746752399,0.0001099072107451617,0.00011068885753689724,0.0001143253588970112,9.861115104845769e-05,0.00011341975867146787,0.00010796328556268202,0.00011604503673190036
7,3.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.01,1.1959556226147446e-05,0.018572492616470294,0.0008478676093494895,1.1959556226147446e-05,1.1959556226147446e-05,1.1959556226147446e-05,1.1959556226147446e-05,1.1959556226147446e-05,1.1959556226147446e-05,1.1959556226147446e-05,1.1959556226147446e-05,1.1959556226147446e-05,1.1959556226147446e-05,1.1959556226147446e-05,1.1959556226147446e-05,1.1959556226147446e-05,1.1959556226147446e-05,1.1959556226147446e-05,1.1959556226147446e-05,1.1959556226147446e-05,1.1959556226147446e-05,1.1959556226147446e-05,1.1959556226147446e-05
8,4.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.01,0.00011455020425368717,0.015916921096984817,0.0006366768438793927,0.00011770040589695346,0.00011366978339201852,0.00012067322476453549,0.00011628087281857344,0.0001051844481837893,0.00011476431460957364,0.00011656008167538897,0.00010799496803947297,0.00011667503249152593,0.00010681824346190005,0.00010993812231954939,0.00010822893060893267,0.00011971610170452771,0.00011682921304684285,0.00010955755636871662,0.00010783604773698237,0.00011390874511387042,0.00010212894296594312,0.00011789954506543578,0.00011834451155522655
9,4.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,0.1,0.01,1.2739461658724852e-05,0.015916921096984817,0.0006366768438793927,1.2739461658724852e-05,1.2739461658724852e-05,1.2739461658724852e-05,1.2739461658724852e-05,1.2739461658724852e-05,1.2739461658724852e-05,1.2739461658724852e-05,1.2739461658724852e-05,1.2739461658724852e-05,1.2739461658724852e-05,1.2739461658724852e-05,1.2739461658724852e-05,1.2739461658724852e-05,1.2739461658724852e-05,1.2739461658724852e-05,1.2739461658724852e-05,1.2739461658724852e-05,1.2739461658724852e-05,1.2739461658724852e-05,1.2739461658724852e-05
