,exp_id,method,graph_type,dim_grid,p_er,m_pa,p_sbm_between,p_sbm_within,nb_conv,noise_scale,M,alpha,train_mse,smoothness_condition_1,smoothness_condition_2,test_mse_0,test_mse_1,test_mse_2,test_mse_3,test_mse_4,test_mse_5,test_mse_6,test_mse_7,test_mse_8,test_mse_9,test_mse_10,test_mse_11,test_mse_12,test_mse_13,test_mse_14,test_mse_15,test_mse_16,test_mse_17,test_mse_18,test_mse_19
0,0.0,0.0,grid,3.0,0.5,1.0,0.1,0.5,1.0,0.01,0.1,0.01,0.00013077496415705615,0.012259092775589786,0.003235037550100261,0.00011928251580716799,0.00012414491820555046,0.0001330895834614286,0.00011884435495313576,0.00011542630454820185,0.00012373760346537843,0.00013031888545858933,0.00011516742944132577,0.00011957513895062427,0.00012208377077584895,0.00011768147185295421,0.000127767496664619,0.00012370559944454229,0.0001282889761061423,0.00011252149167973355,0.0001293153923815347,0.00011731878242804376,0.00011700958479522601,0.0001247493428268237,0.00012686665323174726
1,0.0,1.0,grid,3.0,0.5,1.0,0.1,0.5,1.0,0.01,0.1,0.01,2.1145552467691327e-05,0.012259092775589786,0.003235037550100261,2.1145552467691327e-05,2.1145552467691327e-05,2.1145552467691327e-05,2.1145552467691327e-05,2.1145552467691327e-05,2.1145552467691327e-05,2.1145552467691327e-05,2.1145552467691327e-05,2.1145552467691327e-05,2.1145552467691327e-05,2.1145552467691327e-05,2.1145552467691327e-05,2.1145552467691327e-05,2.1145552467691327e-05,2.1145552467691327e-05,2.1145552467691327e-05,2.1145552467691327e-05,2.1145552467691327e-05,2.1145552467691327e-05,2.1145552467691327e-05
2,1.0,0.0,grid,3.0,0.5,1.0,0.1,0.5,1.0,0.01,0.1,0.01,0.00012665981138155075,0.014261539047889599,0.0040669606187997255,0.00012422652784956266,0.00013023789443448184,0.00012050775471369845,0.00013542977184639854,0.00012428355401396506,0.0001202292269307641,0.00012116490359133384,0.0001306611651114853,0.00012603158247599382,0.00011750394283468941,0.00011751609333725862,0.00013724964269868161,0.00012622354022150537,0.00011943091821947075,0.0001281127971743366,0.00012028106691312148,0.00013130757391567385,0.0001237385312660301,0.00012175757177317852,0.00011660852336605516
3,1.0,1.0,grid,3.0,0.5,1.0,0.1,0.5,1.0,0.01,0.1,0.01,2.365654524520379e-05,0.014261539047889599,0.0040669606187997255,2.365654524520379e-05,2.365654524520379e-05,2.365654524520379e-05,2.365654524520379e-05,2.365654524520379e-05,2.365654524520379e-05,2.365654524520379e-05,2.365654524520379e-05,2.365654524520379e-05,2.365654524520379e-05,2.365654524520379e-05,2.365654524520379e-05,2.365654524520379e-05,2.365654524520379e-05,2.365654524520379e-05,2.365654524520379e-05,2.365654524520379e-05,2.365654524520379e-05,2.365654524520379e-05,2.365654524520379e-05
4,2.0,0.0,grid,3.0,0.5,1.0,0.1,0.5,1.0,0.01,0.1,0.01,0.0001282969263622128,0.016793335863223353,0.00290668731789977,0.00012302458827645073,0.00011377394364181616,0.00011388108867131981,0.00012301534116929605,0.00012167223319570985,0.00011856782272034894,0.00011867071834148559,0.0001323836854905272,0.00011825263201379773,0.00011820634310539852,0.00011871113755576627,0.00012917881498525114,0.00011382156534563495,0.00011374375454921365,0.00011915463059701756,0.00012291883604892358,0.00012362937634431408,0.00012486865954754384,0.0001302133052525505,0.00011783580565074917
5,2.0,1.0,grid,3.0,0.5,1.0,0.1,0.5,1.0,0.01,0.1,0.01,2.202196882870569e-05,0.016793335863223353,0.00290668731789977,2.202196882870569e-05,2.202196882870569e-05,2.202196882870569e-05,2.202196882870569e-05,2.202196882870569e-05,2.202196882870569e-05,2.202196882870569e-05,2.202196882870569e-05,2.202196882870569e-05,2.202196882870569e-05,2.202196882870569e-05,2.202196882870569e-05,2.202196882870569e-05,2.202196882870569e-05,2.202196882870569e-05,2.202196882870569e-05,2.202196882870569e-05,2.202196882870569e-05,2.202196882870569e-05,2.202196882870569e-05
6,3.0,0.0,grid,3.0,0.5,1.0,0.1,0.5,1.0,0.01,0.1,0.01,0.00012127596261869841,0.015546752726727347,0.0031093505453454696,0.00012031044193771176,0.00011928678640113011,0.00011281244184493136,0.00012735521345522954,0.0001196459976969872,0.0001231420862186677,0.00012794006097329106,0.00012621100425522856,0.000124447141612048,0.00011999862018380515,0.00012397758754548776,0.0001149440131448283,0.00012076787906582021,0.00012432294925136895,0.00012171724069878203,0.00012820257455915164,0.00011352887825919706,0.00011961248437386172,0.00012157925140666889,0.00012588325918372694
7,3.0,1.0,grid,3.0,0.5,1.0,0.1,0.5,1.0,0.01,0.1,0.01,2.3035978711841445e-05,0.015546752726727347,0.0031093505453454696,2.3035978711841445e-05,2.3035978711841445e-05,2.3035978711841445e-05,2.3035978711841445e-05,2.3035978711841445e-05,2.3035978711841445e-05,2.3035978711841445e-05,2.3035978711841445e-05,2.3035978711841445e-05,2.3035978711841445e-05,2.3035978711841445e-05,2.3035978711841445e-05,2.3035978711841445e-05,2.3035978711841445e-05,2.3035978711841445e-05,2.3035978711841445e-05,2.3035978711841445e-05,2.3035978711841445e-05,2.3035978711841445e-05,2.3035978711841445e-05
8,4.0,0.0,grid,3.0,0.5,1.0,0.1,0.5,1.0,0.01,0.1,0.01,0.00013533915181952787,0.0142310819201843,0.0031238195124272962,0.00012738582282321607,0.0001236456631022097,0.00013520811696840168,0.00012951111606065527,0.00011557903416354825,0.0001227231728365542,0.00012581646682758728,0.00012551821517462836,0.00012456442723107362,0.00012669362837176856,0.00012432924676423639,0.00012371950779844828,0.00013044543220186488,0.00012021392176038586,0.00011592236214342002,0.00012498273085520393,0.00012529221112146994,0.00012311868782634015,0.00014468197174036867,0.00012677388049022012
9,4.0,1.0,grid,3.0,0.5,1.0,0.1,0.5,1.0,0.01,0.1,0.01,2.593300999177357e-05,0.0142310819201843,0.0031238195124272962,2.593300999177357e-05,2.593300999177357e-05,2.593300999177357e-05,2.593300999177357e-05,2.593300999177357e-05,2.593300999177357e-05,2.593300999177357e-05,2.593300999177357e-05,2.593300999177357e-05,2.593300999177357e-05,2.593300999177357e-05,2.593300999177357e-05,2.593300999177357e-05,2.593300999177357e-05,2.593300999177357e-05,2.593300999177357e-05,2.593300999177357e-05,2.593300999177357e-05,2.593300999177357e-05,2.593300999177357e-05
