,exp_id,method,graph_type,dim_grid,p_er,m_pa,p_sbm_between,p_sbm_within,nb_conv,noise_scale,r,M,alpha,train_mse,smoothness_condition_1,smoothness_condition_2,test_mse_0,test_mse_1,test_mse_2,test_mse_3,test_mse_4,test_mse_5,test_mse_6,test_mse_7,test_mse_8,test_mse_9,test_mse_10,test_mse_11,test_mse_12,test_mse_13,test_mse_14,test_mse_15,test_mse_16,test_mse_17,test_mse_18,test_mse_19
0,0.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,2.0,1.0,0.01,0.0010469815307706264,0.17063873988999317,0.00703009082403938,0.0010488912655425646,0.0010651765212171046,0.0010571140716908191,0.0009965386026804534,0.001036211938770562,0.0010448294125906593,0.0010503989525998342,0.0010305703003023353,0.001043442290043925,0.0010407892553471695,0.0009765498087209981,0.0010487966132164495,0.0010375724854906443,0.0010121058483019737,0.0010544692119181212,0.0010597593992242617,0.00102822378712651,0.0010485476267361785,0.0010263007064823131,0.001029288054994065
1,0.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,2.0,1.0,0.01,0.0008741716513435524,0.17063873988999317,0.00703009082403938,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524
2,0.0,2.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,2.0,1.0,0.01,0.0008741716513435524,0.17063873988999317,0.00703009082403938,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524,0.0008741716513435524
3,1.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,2.0,1.0,0.01,0.0010327779625586486,0.16623236555655388,0.007806782853781944,0.001052206984749774,0.0010856179819293626,0.0010809345265931998,0.0010541222219515468,0.001049541450159123,0.001047535451541139,0.001088901503680817,0.0011037200640992891,0.0010593179393535135,0.0010499064347604518,0.0010646481564153742,0.0010626468725246623,0.0010405219497756626,0.0010503106375985528,0.0010157866735569128,0.0010536624313121695,0.0010700838684687076,0.001097291060726466,0.0010291059210187313,0.0010844020815578882
4,1.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,2.0,1.0,0.01,0.0008929528746384319,0.16623236555655388,0.007806782853781944,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319
5,1.0,2.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,2.0,1.0,0.01,0.0008929528746384319,0.16623236555655388,0.007806782853781944,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319,0.0008929528746384319
6,2.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,2.0,1.0,0.01,0.0010538021434518727,0.16459090330495438,0.007732212147347893,0.0010587900470839856,0.0010391221248577138,0.0010694365071048802,0.0010191595508775018,0.0010919008052756446,0.001047458608245524,0.0010606987016086775,0.0010076653909443698,0.0010401952106010748,0.0010489490454521147,0.0010384298953443035,0.0010328165782763751,0.001056089814510668,0.00107276110100454,0.0010488431320826315,0.0010277673237236746,0.001040461187078121,0.0010687961629715738,0.0010503235129149917,0.0010822391269588508
7,2.0,1.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,2.0,1.0,0.01,0.0008909088209495004,0.16459090330495438,0.007732212147347893,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004
8,2.0,2.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,2.0,1.0,0.01,0.0008909088209495004,0.16459090330495438,0.007732212147347893,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004,0.0008909088209495004
9,3.0,0.0,SBM,2.0,0.5,1.0,0.01,0.07,1.0,0.01,2.0,1.0,0.01,0.0009906648758765926,0.15936466249517567,0.007968233124758783,0.0010422214961506669,0.0010493599311433225,0.0010492791303237706,0.001061182060338729,0.0010376025039260596,0.0010447328705169396,0.0010401050666551312,0.0010290942966052971,0.0010239556566526012,0.0010436546293902257,0.0010424338405593564,0.0010075638828205024,0.00102188228271658,0.0010375156989472305,0.0010254641726096462,0.0009987162089672022,0.001009872936900163,0.000992844998216951,0.0010312847003976896,0.0010189570245999128
